transaction_id,customer_name,amount,date
TX100000,Customer_49,1878.96,2025-10-16 17:00:33.160554
TX100001,Customer_1105,4754.06,2025-10-19 17:00:33.160554
TX100002,Customer_342,3662.65,2025-11-15 17:00:33.160554
TX100003,Customer_232,2997.31,2025-11-19 17:00:33.160554
TX100004,Customer_650,788.53,2025-10-24 17:00:33.160554
TX100005,Customer_1775,788.41,2025-11-08 17:00:33.160554
TX100006,Customer_1866,299.84,2025-10-21 17:00:33.160554
TX100007,Customer_1523,4332.22,2025-11-09 17:00:33.160554
TX100008,Customer_1942,3009.56,2025-10-28 17:00:33.160554
TX100009,Customer_1202,3543.28,2025-10-19 17:00:33.160554
TX100010,Customer_597,112.72,2025-11-05 17:00:33.160554
TX100011,Customer_98,4849.85,2025-11-04 17:00:33.160554
TX100012,Customer_1634,4163.89,2025-10-15 17:00:33.160554
TX100013,Customer_934,1069.57,2025-11-20 17:00:33.160554
TX100014,Customer_117,917.31,2025-11-13 17:00:33.160554
TX100015,Customer_750,925.19,2025-09-27 17:00:33.160554
TX100016,Customer_1475,1528.17,2025-11-13 17:00:33.160554
TX100017,Customer_402,2628.53,2025-09-22 17:00:33.160554
TX100018,Customer_1726,2165.41,2025-10-18 17:00:33.160554
TX100019,Customer_1605,1463.23,2025-10-23 17:00:33.160554
TX100020,Customer_740,3063.15,2025-11-17 17:00:33.160554
TX100021,Customer_1276,706.07,2025-11-15 17:00:33.160554
TX100022,Customer_960,1467.8,2025-10-22 17:00:33.160554
TX100023,Customer_1350,1838.15,2025-11-13 17:00:33.160554
TX100024,Customer_1778,2285.79,2025-11-20 17:00:33.160554
TX100025,Customer_1279,3928.03,2025-10-19 17:00:33.160554
TX100026,Customer_816,1006.37,2025-10-23 17:00:33.160554
TX100027,Customer_863,2576.03,2025-09-22 17:00:33.160554
TX100028,Customer_627,2966.15,2025-10-01 17:00:33.160554
TX100029,Customer_933,241.79,2025-11-15 17:00:33.160554
TX100030,Customer_58,3041.65,2025-11-13 17:00:33.160554
TX100031,Customer_1963,860.92,2025-11-03 17:00:33.160554
TX100032,Customer_503,334.61,2025-09-21 17:00:33.160554
TX100033,Customer_420,4744.94,2025-10-25 17:00:33.160554
TX100034,Customer_9,4828.5,2025-10-10 17:00:33.160554
TX100035,Customer_534,4043.9,2025-10-21 17:00:33.160554
TX100036,Customer_252,1530.02,2025-10-17 17:00:33.160554
TX100037,Customer_469,497.38,2025-10-02 17:00:33.160554
TX100038,Customer_585,3424.32,2025-10-06 17:00:33.160554
TX100039,Customer_1877,2206.36,2025-11-16 17:00:33.160554
TX100040,Customer_1205,618.97,2025-10-23 17:00:33.160554
TX100041,Customer_1535,2480.93,2025-10-04 17:00:33.160554
TX100042,Customer_239,181.6,2025-10-31 17:00:33.160554
TX100043,Customer_944,4547.51,2025-11-12 17:00:33.160554
TX100044,Customer_758,1301.31,2025-10-24 17:00:33.160554
TX100045,Customer_1558,3315.99,2025-11-12 17:00:33.160554
TX100046,Customer_1019,1565.44,2025-10-01 17:00:33.160554
TX100047,Customer_1110,2605.14,2025-11-13 17:00:33.160554
TX100048,Customer_1795,2738.08,2025-10-27 17:00:33.160554
TX100049,Customer_273,932.42,2025-09-25 17:00:33.160554
TX100050,Customer_1373,4848.23,2025-11-16 17:00:33.160554
TX100051,Customer_1992,3877.91,2025-11-05 17:00:33.160554
TX100052,Customer_400,4698.1,2025-11-14 17:00:33.160554
TX100053,Customer_885,4475.19,2025-10-25 17:00:33.160554
TX100054,Customer_1721,2993.52,2025-11-17 17:00:33.160554
TX100055,Customer_439,4610.15,2025-10-19 17:00:33.160554
TX100056,Customer_1635,451.58,2025-10-22 17:00:33.160554
TX100057,Customer_863,987.95,2025-10-10 17:00:33.160554
TX100058,Customer_1211,235.68,2025-11-02 17:00:33.160554
TX100059,Customer_152,1633.4,2025-11-19 17:00:33.160554
TX100060,Customer_129,1949.5,2025-10-08 17:00:33.160554
TX100061,Customer_579,1364.03,2025-11-12 17:00:33.160554
TX100062,Customer_1975,4145.4,2025-10-10 17:00:33.160554
TX100063,Customer_426,1790.2,2025-11-04 17:00:33.160554
TX100064,Customer_947,1411.86,2025-09-26 17:00:33.160554
TX100065,Customer_717,2718.05,2025-10-30 17:00:33.160554
TX100066,Customer_526,713.21,2025-09-25 17:00:33.160554
TX100067,Customer_901,4012.96,2025-09-26 17:00:33.160554
TX100068,Customer_64,382.01,2025-11-11 17:00:33.160554
TX100069,Customer_501,4934.57,2025-11-14 17:00:33.160554
TX100070,Customer_740,3863.5,2025-11-09 17:00:33.160554
TX100071,Customer_1318,1001.59,2025-10-09 17:00:33.160554
TX100072,Customer_62,37.56,2025-10-04 17:00:33.160554
TX100073,Customer_912,4079.15,2025-10-08 17:00:33.160554
TX100074,Customer_672,3537.22,2025-10-21 17:00:33.160554
TX100075,Customer_720,3647.75,2025-10-06 17:00:33.160554
TX100076,Customer_1121,3858.64,2025-11-12 17:00:33.160554
TX100077,Customer_1994,379.48,2025-11-02 17:00:33.160554
TX100078,Customer_1733,1798.74,2025-11-15 17:00:33.160554
TX100079,Customer_1876,588.19,2025-10-15 17:00:33.160554
TX100080,Customer_304,4316.89,2025-09-21 17:00:33.160554
TX100081,Customer_1083,3120.26,2025-10-31 17:00:33.160554
TX100082,Customer_1729,1661.18,2025-10-11 17:00:33.160554
TX100083,Customer_483,327.16,2025-10-19 17:00:33.160554
TX100084,Customer_1949,1561.8,2025-10-30 17:00:33.160554
TX100085,Customer_363,1632.66,2025-10-15 17:00:33.160554
TX100086,Customer_1427,3650.73,2025-10-31 17:00:33.160554
TX100087,Customer_801,3191.41,2025-09-30 17:00:33.160554
TX100088,Customer_434,4437.19,2025-10-29 17:00:33.160554
TX100089,Customer_703,2366.35,2025-09-30 17:00:33.160554
TX100090,Customer_376,606.78,2025-10-08 17:00:33.160554
TX100091,Customer_933,3569.09,2025-10-29 17:00:33.160554
TX100092,Customer_1949,3806.32,2025-11-19 17:00:33.160554
TX100093,Customer_623,2810.77,2025-10-17 17:00:33.160554
TX100094,Customer_1684,3857.13,2025-11-16 17:00:33.160554
TX100095,Customer_32,2474.04,2025-09-29 17:00:33.160554
TX100096,Customer_879,2618.44,2025-10-07 17:00:33.160554
TX100097,Customer_384,2143.43,2025-10-29 17:00:33.160554
TX100098,Customer_614,136.84,2025-10-13 17:00:33.160554
TX100099,Customer_752,548.38,2025-10-21 17:00:33.160554
TX100100,Customer_1437,166.83,2025-10-21 17:00:33.160554
TX100101,Customer_1385,3185.69,2025-10-01 17:00:33.160554
TX100102,Customer_1186,1578.64,2025-10-19 17:00:33.160554
TX100103,Customer_468,2547.77,2025-11-07 17:00:33.160554
TX100104,Customer_146,4538.76,2025-11-02 17:00:33.160554
TX100105,Customer_1443,1253.97,2025-10-25 17:00:33.160554
TX100106,Customer_1368,2057.81,2025-10-21 17:00:33.160554
TX100107,Customer_283,3780.2,2025-10-25 17:00:33.160554
TX100108,Customer_1286,1151.7,2025-11-17 17:00:33.160554
TX100109,Customer_320,394.13,2025-10-20 17:00:33.160554
TX100110,Customer_652,1455.86,2025-09-21 17:00:33.160554
TX100111,Customer_59,814.49,2025-10-18 17:00:33.160554
TX100112,Customer_812,4649.19,2025-10-10 17:00:33.160554
TX100113,Customer_215,4042.52,2025-10-23 17:00:33.160554
TX100114,Customer_918,3170.68,2025-10-09 17:00:33.160554
TX100115,Customer_1507,4358.59,2025-09-25 17:00:33.160554
TX100116,Customer_234,4020.32,2025-11-17 17:00:33.160554
TX100117,Customer_707,940.98,2025-11-01 17:00:33.160554
TX100118,Customer_1418,4463.87,2025-10-02 17:00:33.160554
TX100119,Customer_308,2701.32,2025-11-08 17:00:33.160554
